# SIMBAD TAP cross-IDs fetched 2026-08-09
# unresolved: ['D564-8', 'D631-7', 'KK98-251']
# tap-errors: none
sparc_name,alias
UGC02259,[HVG99b] 02448+3720
UGC02259,Gaia DR2 141745396923605504
UGC04278,SDSS J081358.89+454430.5
UGC04278,2MFGC 6519
UGC04278,SHOC 192
UGC04278,2MASXI J0813589+454434
UGC04278,FGC  730
UGC04278,IC 2233
UGC04278,IRAS F08104+4553
UGC04278,LEDA   23071
UGC04278,MCG+08-15-052
UGC04278,RFGC 1340
UGC04278,TC 702
UGC04278,UGC  4278
UGC04278,Z 236-36
UGC04278,LCSB L334
UGC04278,2MASX J08135890+4544317
UGC04278,SDSS J081358.76+454441.8
UGC04278,Z 0810.4+4554
UGC04278,[M98c] 081027.6+455350
UGC04278,UZC J081358.9+454434
UGC04278,SDSS J081358.82+454443.6
UGC04278,EON 123.495+45.742
UGC04325,MaNGA 8722-3701
UGC04325,MaNGA 1-605161
UGC04325,Gaia DR3 932124210947336704
UGC04325,SHOC 197
UGC04325,IRAS F08156+5010
UGC04325,IRAS 08156+5009
UGC04325,LEDA   23340
UGC04325,MCG+08-15-062
UGC04325,NGC  2552
UGC04325,TC 103
UGC04325,UGC  4325
UGC04325,Z 236-42
UGC04325,[MI94] Sm  35
UGC04325,SDSS J081919.58+500020.7
UGC04325,Z 0815.7+5010
UGC04325,[M98c] 081540.6+500953
UGC04325,UZC J081919.8+500027
UGC04325,PSCz Q08156+5009
UGC04325,LEDA 3132065
UGC04325,SDSS J081920.52+500034.6
UGC04325,Gaia DR2 932124210947336704
UGC05414,APG 264
UGC05414,IRAS F10009+4059
UGC05414,IRAS 10009+4100
UGC05414,LEDA   29186
UGC05414,MCG+07-21-007
UGC05414,NFGS  50
UGC05414,NGC  3104
UGC05414,TC 129
UGC05414,UGC  5414
UGC05414,VV  119
UGC05414,Z 211-6
UGC05414,Z 1000.9+4100
UGC05414,UZC J100357.5+404526
UGC05414,SDSS J100357.18+404541.4
UGC05721,Gaia DR3 728306061174288000
UGC05721,2MASXI J1032167+274010
UGC05721,BTS  19
UGC05721,IRAS 10294+2755
UGC05721,IRAS F10295+2755
UGC05721,LEDA   31122
UGC05721,MCG+05-25-020
UGC05721,NGC  3274
UGC05721,SPB 143
UGC05721,UGC  5721
UGC05721,Was  13
UGC05721,Z 154-24
UGC05721,LCSB L419
UGC05721,2MASX J10321728+2740075
UGC05721,Z 1029.5+2756
UGC05721,[CHM2007] HDC  595 J103217.28+2740075
UGC05721,[CHM2007] LDC  743 J103217.28+2740075
UGC05721,[M98c] 102929.5+275540
UGC05721,UZC J103217.1+274007
UGC05721,PSCz Q10294+2755
UGC05721,SDSS J103217.22+274007.7
UGC05721,Gaia DR2 728306061173370368
UGC05764,Gaia DR3 736158665849627392
UGC05764,APG 267
UGC05764,Anon 1033+31
UGC05764,DDO  83
UGC05764,LEDA   31477
UGC05764,MCG+05-25-025
UGC05764,TC 530
UGC05764,UGC  5764
UGC05764,VV  804
UGC05764,Z 154-31
UGC05764,[MI94] Im  72
UGC05764,Z 1033.9+3149
UGC05764,SDSS J103643.14+313250.1
UGC05764,Gaia DR2 736158665849627392
UGC05829,DDO  84
UGC05829,K73  434
UGC05829,KUG 1039+347B
UGC05829,LEDA   31923
UGC05829,MCG+06-24-006
UGC05829,NAME Spider
UGC05829,TC 143
UGC05829,UGC  5829
UGC05829,VV  794
UGC05829,Z 184-6
UGC05829,[MI94] Im  73
UGC05829,Z 1039.8+3443
UGC05829,[M98c] 103955.1+344313
UGC05829,UZC J104242.4+342650
UGC05829,SDSS J104242.78+342657.3
UGC05918,Anon 1046+65
UGC05918,BKK  3
UGC05918,DDO  87
UGC05918,HIJASS J1049+65
UGC05918,K68  72
UGC05918,LEDA   32405
UGC05918,MCG+11-13-039
UGC05918,TC 146
UGC05918,UGC  5918
UGC05918,ZW  VII 347
UGC05918,[B93] 31
UGC05918,[MI94] Im  75
UGC05918,[VDD93] 123
UGC05918,CGPG 1046.5+6547
UGC05918,SDSS J104936.41+653201.0
UGC05986,GB6 B1049+3653
UGC05986,NVSS J105232+363727
UGC05986,87GB 104942.2+365408
UGC05986,WN B1049.7+3654B
UGC05986,2MFGC 8476
UGC05986,APG 206
UGC05986,IRAS F10497+3653
UGC05986,IRAS 10497+3653
UGC05986,K73  447
UGC05986,KUG 1049+368
UGC05986,LEDA   32643
UGC05986,MCG+06-24-028
UGC05986,NGC  3432
UGC05986,TC 729
UGC05986,UGC  5986
UGC05986,VV   11a
UGC05986,VV   11
UGC05986,Z 184-30
UGC05986,[MI94] Sm  58
UGC05986,2MASX J10523113+3637076
UGC05986,Z 1049.7+3653
UGC05986,[CHM2007] LDC  743 J105231.13+3637076
UGC05986,[M98c] 104942.7+365305
UGC05986,UZC J105231.2+363710
UGC05986,PSCz Q10497+3653
UGC05986,SDSS J105231.02+363709.6
UGC05986,BWE 1049+3654
UGC05986,6C 104944+365405
UGC05986,7C 104943.70+365323.00
UGC05986,[CAB95] IRAS F10497+3653
UGC05986,[DC78] UGC  5986
UGC05986,[NKB95] N3432
UGC06446,Gaia DR3 839868523882652032
UGC06446,LEDA   35202
UGC06446,MCG+09-19-079
UGC06446,NFGS  84
UGC06446,UGC  6446
UGC06446,Z 268-36
UGC06446,Z 1123.8+5401
UGC06446,UZC J112640.2+534450
