source_id,ruwe,non_single_star,radial_velocity,radial_velocity_error,rv_nb_transits,rv_renormalised_gof,rv_chisq_pvalue,rv_amplitude_robust,rv_template_teff,phot_g_mean_mag
452506557335052800,1.0648255,0,10.165302,2.8269591,17,,,,3300.0,14.97713
464090015412555392,1.1594868,0,3.219708,0.20508848,28,-0.16182509,0.3779238,2.9266202,6000.0,9.90384
474383849430446336,1.0176629,0,-6.4147367,0.28450698,23,-0.46577734,0.50831056,3.634716,5500.0,10.813881
481338191754186624,0.9952736,0,28.950306,0.63875216,28,-0.23747262,0.5404854,11.955898,5250.0,12.270722
498103613771414272,1.0338371,0,10.29319,3.5275996,21,,,,4250.0,14.219607
534364785702331776,0.8344343,0,-14.97379,0.5838389,20,1.6344042,0.30030462,3.403102,5250.0,10.80376
540540055321084672,1.186815,0,-0.622422,1.8585315,29,,,,5500.0,14.28532
544437922821310976,1.0922742,2,-18.46112,12.569036,17,85.12626,0.0,113.40019,7000.0,8.619171
79734044921385216,1.1279235,0,-14.862671,1.5811796,12,3.4683192,0.058004737,8.261427,5500.0,12.286897
114610210156605952,2.0797415,0,-6.3086624,1.421797,2,,,,6000.0,11.251113
128620870221374464,1.1796542,0,-19.763977,0.6294245,10,-1.1062065,0.83453983,4.0535736,4750.0,12.300728
322413681559182720,1.3673805,0,-8.050205,0.17283894,11,0.049975805,0.31905833,1.027514,5500.0,8.805257
111033876790996736,0.9897194,0,-2.390097,0.4840022,11,-0.45535153,0.58863014,3.9500134,4750.0,11.642194
119423459747572480,1.1832731,0,21.533571,0.5731091,12,0.5321138,0.2735474,5.2310314,4500.0,11.773962
223983476497066368,0.9780844,0,18.142843,0.15687503,20,0.9747306,0.02328843,1.629858,4750.0,9.135876
577269894078176384,0.94488645,0,83.636024,0.1893455,14,-0.4647634,0.53192437,1.3495941,6250.0,9.61145
641109325892710400,0.9837696,0,32.55913,0.17749381,31,1.6729832,0.005471165,2.2442589,6000.0,9.326014
142405997252358528,1.1572762,0,5.525538,1.7931792,11,2.3208418,0.007643648,15.089212,4500.0,12.9128065
212436852058968960,1.0220696,0,-31.73415,0.93528163,33,,,,4500.0,13.307036
391250977841681280,1.0950449,0,-18.681704,0.3279303,28,1.5653547,0.020184604,4.5324917,5500.0,11.029718
405143341618608128,1.0733337,0,-21.075727,1.1059823,18,0.49412307,0.3551396,15.89848,4250.0,13.094057
424727705298716288,1.0414441,0,-30.539722,2.0957322,21,,,,3600.0,13.95064
431215167500140800,0.9701014,0,-23.472424,3.2496748,15,,,,3100.0,14.624151
435772952425833984,1.2349654,0,3.3182375,1.5580587,10,-0.3391719,0.6926939,13.339758,3800.0,13.340856
440261605572076288,1.1289638,0,-20.410484,0.47990605,12,-0.57743436,0.6650966,3.828453,4750.0,12.025806
440261777370775808,1.0108756,0,-19.087341,0.20605412,8,-2.0887764,0.97137374,1.1665783,6250.0,9.1184845
544470946827357440,0.983066,0,-19.00993,1.3861006,25,,,,4500.0,13.660998
547476908538458496,0.9770802,0,3.4895422,2.3470583,20,,,,3800.0,13.680502
568302105444218368,5.5777755,0,-4.194089,1.2415378,20,0.15898564,0.49396577,17.322824,3500.0,13.531312
575368391797878912,1.2116821,0,-26.04213,5.679748,19,,,,3600.0,15.413491
294765362166691968,1.2575126,0,8.34787,1.1279229,14,1.1643286,0.1811064,9.809954,4500.0,12.825826
367837015163654272,1.0542022,0,-4.4908485,1.6215532,28,,,,4250.0,14.115561
370238447342099968,0.86154413,0,3.767075,0.4481554,15,2.7929664,5.2294607E-4,5.581578,6250.0,9.620477
30923115991811200,1.1806601,0,68.805664,0.9173778,15,1.029322,0.1278514,9.687286,4500.0,12.756451
37991601370442752,1.095724,0,31.856272,1.2060354,12,1.0245374,0.23841313,10.39053,3800.0,13.415518
54348417380161792,1.3330992,0,63.52195,0.6012996,12,2.472716,0.0049048164,5.2897377,5250.0,11.03225
153741691551129216,0.9440737,0,60.588394,0.23853643,27,0.019802617,0.30431014,3.5891151,5250.0,10.691618
191786305703417344,1.0041913,0,21.61271,0.2076602,13,0.5415895,0.15906984,1.595995,5250.0,9.814988
193871426426337408,1.0424519,0,-0.8803587,2.4234004,12,,,,3800.0,13.36701
579529081235551360,1.0288881,0,-5.1977544,0.15498188,13,0.21830055,0.1562357,1.015944,5000.0,8.969806
599799952483478528,0.9711935,0,34.602455,0.14945254,13,0.56715506,0.21733063,1.0542259,5750.0,8.525257
627699888238838272,0.9787585,0,30.58979,0.1760964,14,-1.1366702,0.7239634,1.3782845,6000.0,7.457997
209441129550252160,1.0858616,0,16.997805,0.70827895,25,3.1144454,0.0011310657,11.727169,4500.0,12.353682
248810242895926784,0.9708748,0,-22.777033,0.52548605,25,-0.047804013,0.50512666,10.031832,4500.0,12.320274
281230923786814976,1.041184,0,16.128,4.8302116,28,,,,3700.0,15.408926
285954077845322368,1.0081409,0,14.3643055,0.5281219,29,-1.3083978,0.9429897,8.925933,4500.0,12.517458
415194595883202304,1.0155195,0,,,,,,,,10.416849
465819989577003904,1.071912,0,-23.00095,1.0064194,25,,,,4500.0,13.272022
484876729407910784,0.9907838,0,36.60495,3.7250898,39,,,,3700.0,15.202207
491391095281199360,1.1899766,0,-58.559784,0.9943969,11,0.7453934,0.27487025,9.156658,4000.0,12.453561
503640960487800832,1.0244069,0,-39.903816,4.0928216,22,,,,3800.0,15.124228
503640960487804288,1.0199146,0,-50.36595,0.5417112,26,-2.4534423,0.99250865,11.086994,4500.0,12.845213
