name,leg,fgas,cov,theta,d_boot,d_p065,d_gm,abs_share,sd2_share,flag
UGC03546,flow,0.0056,-0.1335,11.4272,2.1622,0.5624,0.3569,0.0098,0.0035,
UGC03580,flow,0.0185,-0.0962,7.9716,-47.7702,-23.3454,-27.1335,0.2157,0.5227,
UGC04278,flow,-0.0739,-1.2657,39.0407,-0.2387,-0.4051,-0.1592,0.0011,0.0000,
UGC04325,flow,0.2938,-0.8594,15.0402,-0.7702,-0.2897,-0.4449,0.0035,0.0001,
UGC04499,flow,0.5189,-1.0510,30.0322,-0.2286,-0.1815,-0.2656,0.0010,0.0000,
UGC05005,flow,0.7586,-1.5918,87.2689,-0.0066,0.0069,-0.0300,0.0000,0.0000,
UGC05253,flow,0.0020,0.5470,2.2518,-0.8868,-1.7928,-2.8467,0.0040,0.0057,
UGC05414,flow,0.4245,-0.9463,30.0620,0.1233,-0.0228,-0.0010,0.0006,0.0000,
UGC05716,flow,0.7619,-1.4336,20.0455,-1.5759,-0.7440,-1.1374,0.0071,0.0001,
UGC05721,flow,0.4171,-0.9526,15.0193,-0.7833,-0.0340,-0.3312,0.0035,0.0001,
UGC05750,flow,0.3116,-1.4104,16.9369,0.3032,0.1671,0.0997,0.0014,0.0000,
UGC05764,flow,0.8184,-1.3153,9.9405,-2.3067,-1.0518,-1.3499,0.0104,0.0008,
UGC05829,flow,0.8164,-1.1869,105.0424,-0.1412,-0.1067,-0.1329,0.0006,0.0000,
UGC06446,flow,0.5874,-1.2164,29.9084,-1.7990,-0.8705,-1.2541,0.0081,0.0002,
UGC06614,flow,-0.0056,-0.2717,7.5111,-3.2007,-2.0464,-2.0908,0.0144,0.0011,
UGC06786,flow,0.0078,0.0779,9.1517,-8.6268,-4.6900,-6.0834,0.0389,0.0076,
UGC06787,flow,0.0046,0.1612,4.5514,-7.9507,-4.0796,-6.8806,0.0359,0.0083,
UGC07125,flow,0.5471,-1.3588,30.0022,-1.4628,-0.6933,-1.2024,0.0066,0.0002,
UGC07261,flow,0.1859,-0.9949,29.9163,-0.0895,-0.0775,-0.0969,0.0004,0.0000,
UGC07399,flow,0.4151,-0.9943,14.9255,-0.2778,-0.1643,-0.0607,0.0013,0.0000,
UGC07690,flow,0.2932,-0.7696,15.0057,0.1608,0.0813,-0.0093,0.0007,0.0000,
UGC08699,flow,0.0317,-0.1890,4.5662,-0.9407,-1.0991,-0.7990,0.0042,0.0000,
UGC09037,flow,0.2284,-0.5132,5.9955,-0.6650,-0.4064,-0.3599,0.0030,0.0000,
UGC09133,flow,0.0186,0.0292,2.2758,13.4325,8.0400,8.0364,0.0606,0.0423,
UGC10310,flow,0.4012,-1.0795,29.9898,-0.6008,-0.3171,-0.4432,0.0027,0.0001,
UGC11455,flow,0.0102,0.1194,3.2278,-0.3634,-0.0630,-0.4006,0.0016,0.0000,
UGC11557,flow,0.1848,-0.6898,50.6287,-0.0384,-0.0646,-0.0717,0.0002,0.0000,
UGC11820,flow,0.8477,-1.4029,59.9422,-0.7335,-0.4476,-0.5624,0.0033,0.0000,
UGC11914,flow,0.0005,0.6532,7.9333,-2.5445,-2.0228,-2.8910,0.0115,0.0005,
UGC12506,flow,0.2170,-0.7247,8.4064,3.6406,1.3949,1.6575,0.0164,0.0021,
UGC12732,flow,0.4656,-1.3515,15.0011,-2.0827,-1.1371,-1.4971,0.0094,0.0002,
